id,name
734,abiodun atiba memorial institute senior school ii oyo
735,olivet baptist senior high school ii oyo
736,anglicanmethodist high school oyo
737,alameen comprehensive high school agbogangan
738,liberty college oyo
739,faith international college oyo
740,overcomers college oyo
741,olivet baptist academy oyo
742,ladigbolu grammar school oyo
743,ojongbodu grammar school oyo
744,ansaruddeen grammar school opapa oyo
745,fasola grammar school oyo
746,taiwo memorial secondary school oluwatedo oyo
747,maradesa memorial comprehensive college isokun
748,salamat olaniyan memorial model college oyo
749,oyo state college of education model high school oyo
750,bright stars international high school oyo
751,ads high school opapa oyo
752,ladigbolu senior grammar school ii oyo
753,first baptist academy isokun oyo
754,premier college ojongbodu oyo
755,shepherdsfield international college off iseyin road oyo
756,christ the cornerstone model college new iyaji layout oyo
757,goodnews college alagbon owode oyo
758,bamdek high school oyo
759,crescent heights odo arin oyo
760,community high school idiemi sepeteri
761,community grammar school ogbooro
762,oje grammar school aha
763,adu grammar school okeinanfo agoamodu
764,obalufon grammar school sepeteri
765,muslim grammar school agoamodu
766,muslim grammar school sepeteri
767,muslim grammar school ojeowode
768,muslim comprehensive grammar school ogbooro
769,arolu community grammar school agbonle
770,ansaruddeen society high school saki
771,baptist high school saki
772,saki parapo community grammar school saki
773,community high school ayekale saki
774,asabari grammar school saki
775,community high school otun saki
776,community secondary school army barracks saki
777,okere secondary grammar school saki
778,baptist medical centre secondary school saki
779,elam baptist secondary school saki
780,ansaruddeen society comprehensive college saki
781,sharon rose college saki
782,primerose model private college saki
783,benefit comprehensive college saki
784,aisha model college saki
785,international muslim college saki
786,christ the king catholic college saki
787,ads college saki
788,okere senior secondary grammar school ii saki
789,baptist secondary school saki
790,islamic senior high school saki
791,muslim senior secondary school saki
792,gboro muslim senior college saki
793,faith college saki
794,christ grammar school gedu estate saki
795,ahmadiyya muslim grammar school saki
796,better care secondary school saki
797,iresaadu high school iresaadu
798,arolu community high school arolu
799,baptist secondary grammar school oko
800,olumayin high school mayin
801,irepodun community high school alagbedeonikeke
802,community high school alayin
803,igbon gambari community high school igbongambari
804,community high school gbede
805,community high school orieran
806,ifelodun grammar school ilajue
807,community high school iregba
808,muslim comprehensive high school oko
809,baptist comprehensive college gambari
810,arayin high school iranyin
811,united comprehensive college ogbomoso
812,juli standard college oko
813,iresaapa community high school iresaapa
814,sheperd academy iresaadu
815,ikunsin community high school ikunsin
816,baptist senior grammar school oko
817,community high school ajasejabata ogbomoso
818,community high school iyaoje ogbomoso
819,first baptist church academy oko
820,arojeabaa community high school aroje village
821,remak high school iresa pupa via ogbomoso
822,gloria comprehensive college iresa adu
